year,area_id,ind_code,region_avg_emp,region_tot_wage,region_avg_wage,region_avg_wage_all_industries,region_boundary_low,region_boundary_high,wage_cat
2000,501,00,26421,600112206,22717.21388289618,22717.21388289618,18173.771106316944,27260.656659475415,Average
2000,501,1,400,13389854,33479.55,22717.21388289618,18173.771106316944,27260.656659475415,High
2000,501,11,1838,41585856,22623.87595212187,22717.21388289618,18173.771106316944,27260.656659475415,Mid
2000,501,2,1612,47138535,29232,22717.21388289618,18173.771106316944,27260.656659475415,High
2000,501,21,163,5971698,36625.865030674846,22717.21388289618,18173.771106316944,27260.656659475415,High
2000,501,22,244,13461627,55176.475409836065,22717.21388289618,18173.771106316944,27260.656659475415,High
2000,501,23,1037,28110823,27118.075216972036,22717.21388289618,18173.771106316944,27260.656659475415,Mid
2000,501,3,4859,104167274,21446.216917061123,22717.21388289618,18173.771106316944,27260.656659475415,Mid
2000,501,31-33,3632,98765784,27194.110132158592,22717.21388289618,18173.771106316944,27260.656659475415,Mid
2000,501,42,1443,38396430,26609.333333333332,22717.21388289618,18173.771106316944,27260.656659475415,Mid
2000,501,44-45,2971,49380916,16609.8956580276,22717.21388289618,18173.771106316944,27260.656659475415,Low
2000,501,48-49,485,13365258,27555.38969072165,22717.21388289618,18173.771106316944,27260.656659475415,High
2000,501,51,339,8463930,24953.40412979351,22717.21388289618,18173.771106316944,27260.656659475415,Mid
2000,501,52,794,23078968,29054.18136020151,22717.21388289618,18173.771106316944,27260.656659475415,High
2000,501,53,143,1575259,11022.90909090909,22717.21388289618,18173.771106316944,27260.656659475415,Low
2000,501,54,573,10616310,18534.415357766142,22717.21388289618,18173.771106316944,27260.656659475415,Mid
2000,501,55,NA,0,NA,22717.21388289618,18173.771106316944,27260.656659475415,NA
2000,501,56,446,7074748,15876.789237668161,22717.21388289618,18173.771106316944,27260.656659475415,Low
2000,501,61,NA,0,NA,22717.21388289618,18173.771106316944,27260.656659475415,NA
2000,501,62,2424,56836547,23456.161716171617,22717.21388289618,18173.771106316944,27260.656659475415,Mid
2000,501,71,138,1405901,10182.95652173913,22717.21388289618,18173.771106316944,27260.656659475415,Low
2000,501,72,1932,16084439,8332.461697722567,22717.21388289618,18173.771106316944,27260.656659475415,Low
2000,501,81,594,10318371,17381.218855218856,22717.21388289618,18173.771106316944,27260.656659475415,Low
2000,501,99,NA,0,NA,22717.21388289618,18173.771106316944,27260.656659475415,NA
2000,502,00,188543,2031405881,31247.77089576383,31247.77089576383,24998.216716611067,37497.325074916596,Average
2000,502,1,2892,129148233,44637.68464730291,31247.77089576383,24998.216716611067,37497.325074916596,High
2000,502,11,4005,86033633,21488.85393258427,31247.77089576383,24998.216716611067,37497.325074916596,Low
2000,502,2,2115,75182899,35568,31247.77089576383,24998.216716611067,37497.325074916596,Mid
2000,502,21,1396,59236188,42430.80802292263,31247.77089576383,24998.216716611067,37497.325074916596,High
2000,502,22,445,20923288,47032.42247191011,31247.77089576383,24998.216716611067,37497.325074916596,High
2000,502,23,14695,496400288,33760.54440285811,31247.77089576383,24998.216716611067,37497.325074916596,Mid
2000,502,3,18930,538227080,28451.36735340729,31247.77089576383,24998.216716611067,37497.325074916596,Mid
2000,502,31-33,28749,1557404410,54166.319385022085,31247.77089576383,24998.216716611067,37497.325074916596,High
2000,502,42,6221,233547533,37542.938434335316,31247.77089576383,24998.216716611067,37497.325074916596,High
2000,502,44-45,23085,474774963,20573.089885206846,31247.77089576383,24998.216716611067,37497.325074916596,Low
2000,502,48-49,4262,119332329,27986.39511966213,31247.77089576383,24998.216716611067,37497.325074916596,Mid
2000,502,51,3898,151215204,38789.69214982042,31247.77089576383,24998.216716611067,37497.325074916596,High
2000,502,52,5595,220316883,39389.186773905276,31247.77089576383,24998.216716611067,37497.325074916596,High
2000,502,53,2765,63191602,22843.515370705245,31247.77089576383,24998.216716611067,37497.325074916596,Low
2000,502,54,7838,303240627,38702.63536616484,31247.77089576383,24998.216716611067,37497.325074916596,High
2000,502,55,924,50085460,54197.95670995671,31247.77089576383,24998.216716611067,37497.325074916596,High
2000,502,56,12324,237197668,19232.98734177215,31247.77089576383,24998.216716611067,37497.325074916596,Low
2000,502,61,1052,21869277,20796.045627376425,31247.77089576383,24998.216716611067,37497.325074916596,Low
2000,502,62,15908,480245504,30192.096303746544,31247.77089576383,24998.216716611067,37497.325074916596,Mid
2000,502,71,2113,24321096,11499.013724562234,31247.77089576383,24998.216716611067,37497.325074916596,Low
2000,502,72,17619,182648985,10363.624496282422,31247.77089576383,24998.216716611067,37497.325074916596,Low
2000,502,81,4453,91311945,20496.314394790028,31247.77089576383,24998.216716611067,37497.325074916596,Low
2000,502,99,NA,0,NA,31247.77089576383,24998.216716611067,37497.325074916596,NA
2000,503,00,1353449,2091713010,41884.78724207562,41884.78724207562,33507.829793660494,50261.74469049074,Average
2000,503,1,33054,1735912617,52525.8176317541,41884.78724207562,33507.829793660494,50261.74469049074,High
2000,503,11,2663,68302102,25639.182876455125,41884.78724207562,33507.829793660494,50261.74469049074,Low
2000,503,2,29007,1188288809,40946.048057365464,41884.78724207562,33507.829793660494,50261.74469049074,Mid
2000,503,21,5053,421852313,83474.42786463487,41884.78724207562,33507.829793660494,50261.74469049074,High
2000,503,22,3564,229600684,64424.06060606061,41884.78724207562,33507.829793660494,50261.74469049074,High
2000,503,23,97011,3857578360,39773.44606281762,41884.78724207562,33507.829793660494,50261.74469049074,Mid
2000,503,3,104123,3436114823,32992.551962582715,41884.78724207562,33507.829793660494,50261.74469049074,Low
2000,503,31-33,113044,5491484858,48563.147022398356,41884.78724207562,33507.829793660494,50261.74469049074,Mid
2000,503,42,74099,4161711923,56171.02400842117,41884.78724207562,33507.829793660494,50261.74469049074,High
2000,503,44-45,139823,3428067113,24522.150576085478,41884.78724207562,33507.829793660494,50261.74469049074,Low
2000,503,48-49,48986,1878490510,38356.55493406279,41884.78724207562,33507.829793660494,50261.74469049074,Mid
2000,503,51,84146,1809986051,80625.70151878877,41884.78724207562,33507.829793660494,50261.74469049074,High
2000,503,52,73122,2121961995,59148.91195536227,41884.78724207562,33507.829793660494,50261.74469049074,High
2000,503,53,28339,1010548270,35651.96076078902,41884.78724207562,33507.829793660494,50261.74469049074,Mid
2000,503,54,110784,4653257884,65009.838243789716,41884.78724207562,33507.829793660494,50261.74469049074,High
2000,503,55,14647,1380113649,94209.47251996996,41884.78724207562,33507.829793660494,50261.74469049074,High
2000,503,56,98190,2613117057,26601.924758122008,41884.78724207562,33507.829793660494,50261.74469049074,Low
2000,503,61,14892,450364836,30240.199838839646,41884.78724207562,33507.829793660494,50261.74469049074,Low
2000,503,62,100834,3474322883,34461.49183807049,41884.78724207562,33507.829793660494,50261.74469049074,Mid
2000,503,71,20829,659955568,31688.62624225839,41884.78724207562,33507.829793660494,50261.74469049074,Low
2000,503,72,108419,1509364037,13935.4810503694,41884.78724207562,33507.829793660494,50261.74469049074,Low
2000,503,81,40115,1037142239,25856.30033653247,41884.78724207562,33507.829793660494,50261.74469049074,Low
2000,503,99,6,208369,34736,41884.78724207562,33507.829793660494,50261.74469049074,Mid
2000,504,00,246493,207163541,32688.5371024735,32688.5371024735,26150.8296819788,39226.2445229682,Average
2000,504,1,10723,391422801,36507.85526438497,32688.5371024735,26150.8296819788,39226.2445229682,Mid
2000,504,11,298,5587911,18771.127516778524,32688.5371024735,26150.8296819788,39226.2445229682,Low
2000,504,2,2974,96617049,32494.12508406187,32688.5371024735,26150.8296819788,39226.2445229682,Mid
2000,504,21,95,5447860,57326.98947368421,32688.5371024735,26150.8296819788,39226.2445229682,High
2000,504,22,588,32905056,55944.30612244898,32688.5371024735,26150.8296819788,39226.2445229682,High
2000,504,23,16087,569701154,35432.771554671475,32688.5371024735,26150.8296819788,39226.2445229682,Mid
2000,504,3,25191,798270819,31705.680441427496,32688.5371024735,26150.8296819788,39226.2445229682,Mid
2000,504,31-33,25492,1178070064,46235.52910717088,32688.5371024735,26150.8296819788,39226.2445229682,High
2000,504,42,6491,253114252,39018.89816669234,32688.5371024735,26150.8296819788,39226.2445229682,Mid
2000,504,44-45,28394,624562235,21992.928787772064,32688.5371024735,26150.8296819788,39226.2445229682,Low
2000,504,48-49,3700,107407420,29032.077837837838,32688.5371024735,26150.8296819788,39226.2445229682,Mid
